date,exchange_rate
2025-06-06,0.09804
2025-06-09,0.09901
2025-06-10,0.09852
2025-06-11,0.09756
2025-06-12,0.09804
2025-06-13,0.09804
2025-06-16,0.09756
2025-06-17,0.09756
2025-06-18,0.09756
2025-06-19,0.09756
2025-06-20,0.09756
2025-06-23,0.09756
2025-06-24,0.09709
2025-06-25,0.09709
2025-06-26,0.09709
2025-06-27,0.09709
2025-06-30,0.09709
2025-07-01,0.09709
2025-07-02,0.09709
2025-07-03,0.09709
2025-07-07,0.09662
2025-07-08,0.09662
2025-07-09,0.09671
2025-07-10,0.09662
2025-07-11,0.09709
2025-07-14,0.09662
2025-07-15,0.09615
2025-07-16,0.09615
2025-07-17,0.09615
2025-07-18,0.09615
2025-07-21,0.09615
2025-07-22,0.09569
2025-07-23,0.09569
2025-07-24,0.09569
2025-07-25,0.09569
2025-07-28,0.09569
2025-07-29,0.09569
2025-07-30,0.09569
2025-07-31,0.09569
2025-08-01,0.09569
2025-08-04,0.09524
2025-08-05,0.09524
2025-08-06,0.09524
2025-08-07,0.09524
2025-08-08,0.09524
2025-08-11,0.09524
2025-08-12,0.09434
2025-08-13,0.09434
2025-08-14,0.09346
2025-08-15,0.09259
2025-08-18,0.09259
2025-08-19,0.09217
2025-08-20,0.09174
2025-08-21,0.09132
2025-08-22,0.09132
2025-08-25,0.09132
2025-08-26,0.09091
2025-08-27,0.08969
2025-08-28,0.0885
2025-08-29,0.08584
2025-09-01,0.08439
2025-09-02,0.0846
2025-09-03,0.08368
2025-09-04,0.08368
2025-09-05,0.08368
2025-09-08,0.08333
2025-09-09,0.08333
2025-09-10,0.08231
2025-09-11,0.08231
2025-09-12,0.08231
2025-09-15,0.08231
2025-09-16,0.08197
2025-09-17,0.08197
2025-09-18,0.08183
2025-09-19,0.08231
2025-09-22,0.08163
2025-09-23,0.08163
2025-09-24,0.0813
2025-09-25,0.0813
2025-09-26,0.08197
2025-09-29,0.08097
2025-09-30,0.08032
2025-10-01,0.08
2025-10-02,0.08032
2025-10-03,0.08032
2025-10-06,0.07968
2025-10-07,0.08064
2025-10-08,0.0813
2025-10-09,0.0813
2025-10-10,0.08299
2025-10-13,0.08403
2025-10-14,0.08889
2025-10-15,0.09174
2025-10-16,0.09479
2025-10-17,0.09479
2025-10-20,0.09346
2025-10-21,0.09434
2025-10-22,0.09302
2025-10-23,0.09302
2025-10-24,0.09302
2025-10-27,0.09259
2025-10-28,0.09259
2025-10-29,0.09259
2025-10-30,0.09191
2025-10-31,0.09217
2025-11-03,0.09191
2025-11-04,0.09217
2025-11-05,0.09217
2025-11-06,0.09191
2025-11-07,0.09174
2025-11-10,0.09158
2025-11-11,0.09158
2025-11-12,0.09132
2025-11-13,0.09132
2025-11-14,0.09174
2025-11-17,0.09132
2025-11-18,0.09116
2025-11-19,0.09074
2025-11-20,0.09058
2025-11-21,0.0905
2025-11-24,0.09009
2025-11-25,0.09009
2025-11-26,0.08969
2025-11-27,0.08929
2025-11-28,0.08889
2025-12-01,0.0885
2025-12-02,0.08795
2025-12-03,0.08787
2025-12-04,0.08811
2025-12-05,0.08772
2025-12-08,0.08772
2025-12-09,0.08772
2025-12-10,0.08734
2025-12-11,0.08734
2025-12-12,0.08734
2025-12-15,0.08734
2025-12-16,0.08696
2025-12-17,0.08696
2025-12-18,0.08703
2025-12-19,0.08711
2025-12-22,0.08772
2025-12-23,0.0885
2025-12-24,0.09091
2025-12-29,0.09174
2025-12-30,0.09615
2025-12-31,0.09569
2026-01-01,0.09569
2026-01-02,0.09615
2026-01-05,0.09452
2026-01-06,0.09416
2026-01-07,0.09346
2026-01-08,0.09346
2026-01-09,0.09346
2026-01-12,0.09346
2026-01-13,0.09302
2026-01-14,0.09276
2026-01-15,0.09276
2026-01-16,0.09259
2026-01-19,0.09259
2026-01-20,0.09217
2026-01-21,0.09217
2026-01-22,0.09217
2026-01-23,0.092
2026-01-26,0.09174
2026-01-27,0.09174
2026-01-28,0.09174
2026-01-29,0.09174
2026-01-30,0.09174
2026-02-02,0.09132
2026-02-03,0.09132
2026-02-04,0.09132
2026-02-05,0.09124
2026-02-06,0.09108
2026-02-09,0.09108
2026-02-10,0.09108
2026-02-11,0.09103
2026-02-12,0.09103
2026-02-13,0.09108
2026-02-16,0.09099
2026-02-17,0.09099
2026-02-18,0.09108
2026-02-19,0.09099
2026-02-20,0.09103
2026-02-23,0.09174
2026-02-24,0.09346
2026-02-25,0.09434
2026-02-26,0.0939
2026-02-27,0.0939
2026-03-02,0.09363
2026-03-03,0.09302
2026-03-04,0.09346
2026-03-05,0.09302
2026-03-06,0.09294
2026-03-09,0.09294
2026-03-10,0.09285
2026-03-11,0.09259
2026-03-12,0.09259
2026-03-13,0.09242
