date,exchange_rate
2014-11-07,0.08885
2014-11-08,0.08885
2014-11-09,0.089
2014-11-10,0.0888
2014-11-11,0.0891
2014-11-12,0.08926
2014-11-13,0.08915
2014-11-14,0.09031
2014-11-15,0.09042
2014-11-16,0.09026
2014-11-17,0.08998
2014-11-18,0.09072
2014-11-19,0.0905
2014-11-20,0.09128
2014-11-21,0.0914
2014-11-22,0.09136
2014-11-23,0.09134
2014-11-24,0.09081
2014-11-25,0.09128
2014-11-26,0.09133
2014-11-27,0.09119
2014-11-28,0.0908
2014-11-30,0.09026
2014-12-01,0.09097
2014-12-02,0.08994
2014-12-03,0.0892
2014-12-04,0.08929
2014-12-05,0.08826
2014-12-06,0.08818
2014-12-07,0.08803
2014-12-08,0.08673
2014-12-09,0.08745
2014-12-10,0.0867
2014-12-11,0.08607
2014-12-12,0.08637
2014-12-13,0.08637
2014-12-14,0.08637
2014-12-15,0.08547
2014-12-16,0.08589
2014-12-17,0.08596
2014-12-18,0.08659
2014-12-19,0.08647
2014-12-20,0.08643
2014-12-21,0.08637
2014-12-22,0.08651
2014-12-23,0.08592
2014-12-24,0.08595
2014-12-25,0.08607
2014-12-26,0.08578
2014-12-30,0.08651
2014-12-31,0.08654
2015-01-01,0.08661
2015-01-02,0.08543
2015-01-03,0.08543
2015-01-04,0.08529
2015-01-05,0.08549
2015-01-06,0.08536
2015-01-07,0.08566
2015-01-08,0.08638
2015-01-09,0.0871
2015-01-10,0.0871
2015-01-11,0.08716
2015-01-12,0.0868
2015-01-13,0.08681
2015-01-14,0.08747
2015-01-15,0.08659
2015-01-16,0.08658
2015-01-18,0.08662
2015-01-19,0.08604
2015-01-20,0.08635
2015-01-21,0.08683
2015-01-22,0.08772
2015-01-23,0.08776
2015-01-24,0.08776
2015-01-25,0.08735
2015-01-26,0.08733
2015-01-27,0.08645
2015-01-28,0.08641
2015-01-29,0.08661
2015-01-30,0.08582
2015-01-31,0.08598
2015-02-01,0.08605
2015-02-02,0.087
2015-02-03,0.08797
2015-02-04,0.08723
2015-02-05,0.08876
2015-02-06,0.0871
2015-02-07,0.08687
2015-02-08,0.08703
2015-02-09,0.08634
2015-02-10,0.08565
2015-02-11,0.08464
2015-02-12,0.08543
2015-02-13,0.08585
2015-02-14,0.08579
2015-02-15,0.08593
2015-02-16,0.08587
2015-02-17,0.08571
2015-02-18,0.0863
2015-02-19,0.08574
2015-02-20,0.086
2015-02-21,0.08601
2015-02-22,0.08615
2015-02-23,0.08604
2015-02-24,0.08716
2015-02-25,0.0874
2015-02-26,0.08673
2015-02-27,0.08587
2015-02-28,0.08579
2015-03-01,0.08582
2015-03-02,0.08499
2015-03-03,0.0851
2015-03-04,0.08485
2015-03-05,0.0845
2015-03-06,0.08313
2015-03-07,0.08313
2015-03-08,0.08311
2015-03-09,0.0827
2015-03-10,0.08097
2015-03-11,0.08162
2015-03-12,0.0815
2015-03-13,0.08018
2015-03-14,0.08018
2015-03-15,0.08029
2015-03-16,0.08072
2015-03-17,0.08105
2015-03-18,0.08271
2015-03-19,0.08132
2015-03-20,0.08333
2015-03-21,0.08331
2015-03-22,0.08309
2015-03-23,0.08413
2015-03-24,0.08468
2015-03-25,0.08442
2015-03-26,0.08335
2015-03-27,0.08309
2015-03-28,0.0834
2015-03-29,0.08324
2015-03-30,0.08238
2015-03-31,0.08247
2015-04-01,0.08342
2015-04-02,0.08366
2015-04-03,0.08481
2015-04-04,0.08486
2015-04-05,0.08501
2015-04-06,0.08475
2015-04-07,0.08424
2015-04-08,0.08468
2015-04-09,0.08383
2015-04-10,0.08346
2015-04-11,0.0834
2015-04-12,0.08348
2015-04-13,0.08246
2015-04-14,0.08338
2015-04-15,0.08295
2015-04-16,0.08373
2015-04-17,0.08297
2015-04-19,0.08301
2015-04-20,0.08241
2015-04-21,0.08254
2015-04-22,0.08186
2015-04-23,0.08234
2015-04-24,0.08263
2015-04-26,0.08252
2015-04-27,0.0834
2015-04-28,0.08434
2015-04-29,0.0848
2015-04-30,0.08414
2015-05-01,0.08294
2015-05-03,0.08305
2015-05-04,0.08296
2015-05-05,0.08348
2015-05-06,0.08326
2015-05-07,0.08323
2015-05-08,0.08384
2015-05-10,0.08396
2015-05-11,0.08277
2015-05-12,0.0831
2015-05-13,0.08422
2015-05-14,0.08483
2015-05-15,0.08494
2015-05-17,0.08501
2015-05-18,0.08417
2015-05-19,0.08406
2015-05-20,0.08442
2015-05-21,0.08446
2015-05-22,0.08417
2015-05-23,0.08435
2015-05-24,0.08402
2015-05-25,0.0839
2015-05-26,0.08283
2015-05-27,0.08314
2015-05-28,0.08249
2015-05-29,0.08238
2015-05-30,0.08235
2015-05-31,0.08231
2015-06-01,0.08156
2015-06-02,0.08208
2015-06-03,0.08131
2015-06-04,0.08083
2015-06-05,0.07965
2015-06-07,0.07938
2015-06-08,0.08015
2015-06-09,0.08056
2015-06-10,0.08121
2015-06-11,0.08099
2015-06-12,0.08087
2015-06-14,0.08062
2015-06-15,0.08063
2015-06-16,0.08092
2015-06-17,0.08146
2015-06-18,0.08171
2015-06-19,0.08237
2015-06-20,0.08229
2015-06-21,0.08233
2015-06-22,0.08266
2015-06-23,0.08223
2015-06-24,0.08233
2015-06-25,0.08263
2015-06-26,0.08207
2015-06-28,0.08114
2015-06-29,0.08165
2015-06-30,0.08217
2015-07-01,0.08164
2015-07-02,0.08172
2015-07-03,0.08145
2015-07-05,0.08064
2015-07-06,0.08075
2015-07-07,0.08038
2015-07-08,0.07957
2015-07-09,0.08015
2015-07-10,0.0804
2015-07-12,0.08023
2015-07-13,0.08035
2015-07-14,0.08114
2015-07-15,0.08062
2015-07-16,0.08076
2015-07-17,0.08094
2015-07-18,0.08096
2015-07-19,0.08092
2015-07-20,0.08046
2015-07-21,0.08117
2015-07-22,0.08069
2015-07-23,0.08037
2015-07-24,0.07952
2015-07-26,0.07932
2015-07-27,0.07917
2015-07-28,0.07967
2015-07-29,0.07979
2015-07-30,0.07878
2015-07-31,0.0792
2015-08-02,0.07891
2015-08-03,0.07888
2015-08-04,0.07856
2015-08-05,0.07829
2015-08-06,0.07862
2015-08-07,0.0793
2015-08-09,0.0792
2015-08-10,0.07912
2015-08-11,0.07826
2015-08-12,0.07845
2015-08-13,0.0781
2015-08-14,0.07806
2015-08-16,0.07802
2015-08-17,0.07752
2015-08-18,0.07754
2015-08-19,0.07764
2015-08-20,0.07736
2015-08-21,0.07718
2015-08-22,0.07722
2015-08-23,0.0732
2015-08-24,0.07564
2015-08-25,0.07603
2015-08-26,0.07621
2015-08-27,0.07617
2015-08-28,0.07514
2015-08-29,0.07514
