country_code,country_name,indicator,year,value
ZAF,South Africa,gdp_growth,2025,
ZAF,South Africa,gdp_growth,2024,0.534843531905139
ZAF,South Africa,gdp_growth,2023,0.80610455095804
ZAF,South Africa,gdp_growth,2022,2.05813661692193
ZAF,South Africa,gdp_growth,2021,4.85864865060148
ZAF,South Africa,gdp_growth,2020,-6.1689177146757
ZAF,South Africa,gdp_growth,2019,0.25993557687633
ZAF,South Africa,gdp_growth,2018,1.55678384721676
ZAF,South Africa,gdp_growth,2017,1.15794695181735
ZAF,South Africa,gdp_growth,2016,0.664552307858116
ZAF,South Africa,gdp_growth,2015,1.32186223678229
ZAF,South Africa,gdp_growth,2014,1.41382645223793
ZAF,South Africa,gdp_growth,2013,2.48546800826588
ZAF,South Africa,gdp_growth,2012,2.39623238465745
ZAF,South Africa,gdp_growth,2011,3.16855627858818
ZAF,South Africa,gdp_growth,2010,3.03973288127956
ZAF,South Africa,gdp_growth,2009,-1.53808913525583
ZAF,South Africa,gdp_growth,2008,3.1910438863288
ZAF,South Africa,gdp_growth,2007,5.36047405394162
ZAF,South Africa,gdp_growth,2006,5.60380645895889
ZAF,South Africa,gdp_growth,2005,5.27705197295467
ZAF,South Africa,gdp_growth,2004,4.55455990721774
ZAF,South Africa,gdp_growth,2003,2.94907546754213
ZAF,South Africa,gdp_growth,2002,3.70037440406668
ZAF,South Africa,gdp_growth,2001,2.70000000019104
ZAF,South Africa,gdp_growth,2000,4.20000000067826
ZAF,South Africa,gdp_growth,1999,2.39999999746338
ZAF,South Africa,gdp_growth,1998,0.50000000034143
ZAF,South Africa,gdp_growth,1997,2.60000000146347
ZAF,South Africa,gdp_growth,1996,4.29999999726792
ZAF,South Africa,gdp_growth,1995,3.10000000054411
ZAF,South Africa,gdp_growth,1994,3.20000000297172
ZAF,South Africa,gdp_growth,1993,1.23355793864741
ZAF,South Africa,gdp_growth,1992,-2.13703284500521
ZAF,South Africa,gdp_growth,1991,-1.0182449675445
ZAF,South Africa,gdp_growth,1990,-0.317760426540374
ZAF,South Africa,gdp_growth,1989,2.39479511538406
ZAF,South Africa,gdp_growth,1988,4.20010964838187
ZAF,South Africa,gdp_growth,1987,2.10072902053675
ZAF,South Africa,gdp_growth,1986,0.0178492401652193
ZAF,South Africa,gdp_growth,1985,-1.21154088240387
ZAF,South Africa,gdp_growth,1984,5.09915163001477
ZAF,South Africa,gdp_growth,1983,-1.84655774595063
ZAF,South Africa,gdp_growth,1982,-0.383419108375435
ZAF,South Africa,gdp_growth,1981,5.36079105964045
ZAF,South Africa,gdp_growth,1980,6.62058342724157
ZAF,South Africa,gdp_growth,1979,3.79051926405782
ZAF,South Africa,gdp_growth,1978,3.01447977912923
ZAF,South Africa,gdp_growth,1977,-0.0939791161255812
ZAF,South Africa,gdp_growth,1976,2.24986032919334
ZAF,South Africa,gdp_growth,1975,1.69543377931099
ZAF,South Africa,gdp_growth,1974,6.11112210372188
ZAF,South Africa,gdp_growth,1973,4.57194474637271
ZAF,South Africa,gdp_growth,1972,1.65482970884699
ZAF,South Africa,gdp_growth,1971,4.27893440296982
ZAF,South Africa,gdp_growth,1970,5.24866143118292
